CustomerId,Customer_Name,Email,Country,City,Company,Total_Orders,Customer_Lifetime_Value,Avg_Order_Value,Revenue_Per_Order,First_Purchase,Last_Purchase,Customer_Lifespan_Days
6,Helena Holý,hholy@gmail.com,Czech Republic,Prague,,7,49.62,7.09,7.09,2009-07-11,2013-11-13,1586.0
26,Richard Cunningham,ricunningham@hotmail.com,USA,Fort Worth,,7,47.62,6.8,6.8,2009-11-07,2013-04-05,1245.0
57,Luis Rojas,luisrojas@yahoo.cl,Chile,Santiago,,7,46.62,6.66,6.66,2009-04-04,2012-10-14,1289.0
45,Ladislav Kovács,ladislav_kovacs@apple.hu,Hungary,Budapest,,7,45.62,6.52,6.52,2010-01-08,2013-07-20,1289.0
46,Hugh O'Reilly,hughoreilly@apple.ie,Ireland,Dublin,,7,45.62,6.52,6.52,2009-02-03,2013-11-04,1735.0
24,Frank Ralston,fralston@gmail.com,USA,Chicago,,7,43.62,6.23,6.23,2010-02-08,2013-08-20,1289.0
28,Julia Barnett,jubarnett@gmail.com,USA,Salt Lake City,,7,43.62,6.23,6.23,2009-11-07,2013-05-19,1289.0
37,Fynn Zimmermann,fzimmermann@yahoo.de,Germany,Frankfurt,,7,43.62,6.23,6.23,2009-01-19,2013-06-03,1596.0
7,Astrid Gruber,astrid.gruber@apple.at,Austria,Vienne,,7,42.62,6.09,6.09,2009-12-08,2013-06-19,1289.0
25,Victor Stevens,vstevens@yahoo.com,USA,Madison,,7,42.62,6.09,6.09,2009-03-06,2013-12-05,1735.0
44,Terhi Hämäläinen,terhi.hamalainen@apple.fi,Finland,Helsinki,,7,41.62,5.95,5.95,2009-08-11,2013-12-14,1586.0
5,František Wichterlová,frantisekw@jetbrains.com,Czech Republic,Prague,JetBrains s.r.o.,7,40.62,5.8,5.8,2009-12-08,2013-05-06,1245.0
43,Isabelle Mercier,isabelle_mercier@apple.fr,France,Dijon,,7,40.62,5.8,5.8,2010-01-08,2013-06-06,1245.0
48,Johannes Van der Berg,johavanderberg@yahoo.nl,Netherlands,Amsterdam,,7,40.62,5.8,5.8,2009-05-10,2013-09-12,1586.0
1,Luís Gonçalves,luisg@embraer.com.br,Brazil,São José dos Campos,Embraer - Empresa Brasileira de Aeronáutica S.A.,7,39.62,5.66,5.66,2010-03-11,2013-08-07,1245.0
3,François Tremblay,ftremblay@gmail.com,Canada,Montréal,,7,39.62,5.66,5.66,2010-03-11,2013-09-20,1289.0
4,Bjørn Hansen,bjorn.hansen@yahoo.no,Norway,Oslo,,7,39.62,5.66,5.66,2009-01-02,2013-10-03,1735.0
17,Jack Smith,jacksmith@microsoft.com,USA,Redmond,Microsoft Corporation,7,39.62,5.66,5.66,2009-03-04,2012-07-31,1245.0
20,Dan Miller,dmiller@comcast.com,USA,Mountain View,,7,39.62,5.66,5.66,2010-05-12,2013-11-21,1289.0
22,Heather Leacock,hleacock@gmail.com,USA,Orlando,,7,39.62,5.66,5.66,2010-02-08,2013-07-07,1245.0
34,João Fernandes,jfernandes@yahoo.pt,Portugal,Lisbon,,7,39.62,5.66,5.66,2009-05-05,2012-10-01,1245.0
42,Wyatt Girard,wyatt.girard@yahoo.fr,France,Bordeaux,,7,39.62,5.66,5.66,2009-02-02,2013-11-03,1735.0
15,Jennifer Peterson,jenniferp@rogers.ca,Canada,Vancouver,Rogers Canada,7,38.62,5.52,5.52,2009-06-05,2012-12-15,1289.0
19,Tim Goyer,tgoyer@apple.com,USA,Cupertino,Apple Inc.,7,38.62,5.52,5.52,2009-03-04,2012-09-13,1289.0
39,Camille Bernard,camille.bernard@yahoo.fr,France,Paris,,7,38.62,5.52,5.52,2010-04-11,2013-09-07,1245.0
40,Dominique Lefebvre,dominiquelefebvre@gmail.com,France,Paris,,7,38.62,5.52,5.52,2009-02-01,2012-08-13,1289.0
51,Joakim Johansson,joakim.johansson@yahoo.se,Sweden,Stockholm,,7,38.62,5.52,5.52,2009-07-06,2012-12-02,1245.0
58,Manoj Pareek,manoj.pareek@rediff.com,India,Delhi,,7,38.62,5.52,5.52,2010-06-12,2013-12-22,1289.0
2,Leonie Köhler,leonekohler@surfeu.de,Germany,Stuttgart,,7,37.62,5.37,5.37,2009-01-01,2012-07-13,1289.0
8,Daan Peeters,daan_peeters@apple.be,Belgium,Brussels,,7,37.62,5.37,5.37,2009-01-03,2013-10-04,1735.0
9,Kara Nielsen,kara.nielsen@jubii.dk,Denmark,Copenhagen,,7,37.62,5.37,5.37,2009-09-06,2013-02-02,1245.0
10,Eduardo Martins,eduardo@woodstock.com.br,Brazil,São Paulo,Woodstock Discos,7,37.62,5.37,5.37,2009-04-09,2013-08-12,1586.0
11,Alexandre Rocha,alero@uol.com.br,Brazil,São Paulo,Banco do Brasil S.A.,7,37.62,5.37,5.37,2009-09-06,2013-03-18,1289.0
12,Roberto Almeida,roberto.almeida@riotur.gov.br,Brazil,Rio de Janeiro,Riotur,7,37.62,5.37,5.37,2009-05-23,2013-10-05,1596.0
13,Fernanda Ramos,fernadaramos4@uol.com.br,Brazil,Brasília,,7,37.62,5.37,5.37,2009-06-05,2012-11-01,1245.0
14,Mark Philips,mphilips12@shaw.ca,Canada,Edmonton,Telus,7,37.62,5.37,5.37,2009-01-06,2013-05-11,1586.0
16,Frank Harris,fharris@google.com,USA,Mountain View,Google Inc.,7,37.62,5.37,5.37,2009-02-19,2013-07-04,1596.0
18,Michelle Brooks,michelleb@aol.com,USA,New York,,7,37.62,5.37,5.37,2010-05-12,2013-10-08,1245.0
21,Kathy Chase,kachase@hotmail.com,USA,Reno,,7,37.62,5.37,5.37,2009-03-05,2013-12-04,1735.0
23,John Gordon,johngordon22@yahoo.com,USA,Boston,,7,37.62,5.37,5.37,2009-01-11,2013-12-04,1788.0
27,Patrick Gray,patrick.gray@aol.com,USA,Tucson,,7,37.62,5.37,5.37,2009-06-10,2013-10-13,1586.0
29,Robert Brown,robbrown@shaw.ca,Canada,Toronto,,7,37.62,5.37,5.37,2009-07-24,2013-12-06,1596.0
30,Edward Francis,edfrancis@yachoo.ca,Canada,Ottawa,,7,37.62,5.37,5.37,2009-08-06,2013-01-02,1245.0
31,Martha Silk,marthasilk@gmail.com,Canada,Halifax,,7,37.62,5.37,5.37,2009-03-09,2013-07-12,1586.0
32,Aaron Mitchell,aaronmitchell@yahoo.ca,Canada,Winnipeg,,7,37.62,5.37,5.37,2009-08-06,2013-02-15,1289.0
33,Ellie Sullivan,ellie.sullivan@shaw.ca,Canada,Yellowknife,,7,37.62,5.37,5.37,2009-04-22,2013-09-04,1596.0
35,Madalena Sampaio,masampaio@sapo.pt,Portugal,Porto,,7,37.62,5.37,5.37,2010-07-13,2013-12-09,1245.0
36,Hannah Schneider,hannah.schneider@yahoo.de,Germany,Berlin,,7,37.62,5.37,5.37,2009-05-05,2012-11-14,1289.0
38,Niklas Schröder,nschroder@surfeu.de,Germany,Berlin,,7,37.62,5.37,5.37,2009-02-01,2012-06-30,1245.0
41,Marc Dubois,marc.dubois@hotmail.com,France,Lyon,,7,37.62,5.37,5.37,2010-04-11,2013-10-21,1289.0
47,Lucas Mancini,lucas.mancini@yahoo.it,Italy,Rome,,7,37.62,5.37,5.37,2009-10-07,2013-03-05,1245.0
49,Stanisław Wójcik,stanisław.wójcik@wp.pl,Poland,Warsaw,,7,37.62,5.37,5.37,2009-10-07,2013-04-18,1289.0
