CustomerId,Customer_Name,Country,Email,Total_Purchases,Total_Spent,Avg_Order_Value,Unique_Tracks_Purchased,First_Purchase_Date,Last_Purchase_Date,Customer_Segment
6,Helena Holý,Czech Republic,hholy@gmail.com,7,502.62,13.23,38,2009-07-11,2013-11-13,High-Value
26,Richard Cunningham,USA,ricunningham@hotmail.com,7,474.62,12.49,38,2009-11-07,2013-04-05,High-Value
45,Ladislav Kovács,Hungary,ladislav_kovacs@apple.hu,7,446.62,11.75,38,2010-01-08,2013-07-20,High-Value
46,Hugh O'Reilly,Ireland,hughoreilly@apple.ie,7,446.62,11.75,38,2009-02-03,2013-11-04,High-Value
57,Luis Rojas,Chile,luisrojas@yahoo.cl,7,415.62,10.94,38,2009-04-04,2012-10-14,High-Value
7,Astrid Gruber,Austria,astrid.gruber@apple.at,7,404.62,10.65,38,2009-12-08,2013-06-19,High-Value
25,Victor Stevens,USA,vstevens@yahoo.com,7,404.62,10.65,38,2009-03-06,2013-12-05,High-Value
37,Fynn Zimmermann,Germany,fzimmermann@yahoo.de,7,388.62,10.23,38,2009-01-19,2013-06-03,High-Value
24,Frank Ralston,USA,fralston@gmail.com,7,378.62,9.96,38,2010-02-08,2013-08-20,High-Value
5,František Wichterlová,Czech Republic,frantisekw@jetbrains.com,7,376.62,9.91,38,2009-12-08,2013-05-06,High-Value
43,Isabelle Mercier,France,isabelle_mercier@apple.fr,7,376.62,9.91,38,2010-01-08,2013-06-06,High-Value
28,Julia Barnett,USA,jubarnett@gmail.com,7,370.62,9.75,38,2009-11-07,2013-05-19,High-Value
4,Bjørn Hansen,Norway,bjorn.hansen@yahoo.no,7,362.62,9.54,38,2009-01-02,2013-10-03,High-Value
17,Jack Smith,USA,jacksmith@microsoft.com,7,352.62,9.28,38,2009-03-04,2012-07-31,High-Value
34,João Fernandes,Portugal,jfernandes@yahoo.pt,7,352.62,9.28,38,2009-05-05,2012-10-01,High-Value
48,Johannes Van der Berg,Netherlands,johavanderberg@yahoo.nl,7,352.62,9.28,38,2009-05-10,2013-09-12,High-Value
44,Terhi Hämäläinen,Finland,terhi.hamalainen@apple.fi,7,350.62,9.23,38,2009-08-11,2013-12-14,High-Value
