CustomerId,First_Name,Last_Name,Last_Purchase_Date,First_Purchase_Date,Customer_Lifetime,Total_Revenue,Number_Transactions,Profit_Margin,Average_Order_Value,Purchase_Frequency,Repeat_Rate,Churn_Rate,Customer_Value,Customer_Lifetime_Value
6,Helena,Holý,2013-11-13 00:00:00,2009-07-11 00:00:00,1586.0,49.62,7,14.886,2.12657142857143,7,1,0,14.886,104.202
26,Richard,Cunningham,2013-04-05 00:00:00,2009-11-07 00:00:00,1245.0,47.62,7,14.286,2.04085714285714,7,1,0,14.286,100.002
57,Luis,Rojas,2012-10-14 00:00:00,2009-04-04 00:00:00,1289.0,46.62,7,13.986,1.998,7,1,0,13.986,97.902
45,Ladislav,Kovács,2013-07-20 00:00:00,2010-01-08 00:00:00,1289.0,45.62,7,13.686,1.95514285714286,7,1,0,13.686,95.802
46,Hugh,O'Reilly,2013-11-04 00:00:00,2009-02-03 00:00:00,1735.0,45.62,7,13.686,1.95514285714286,7,1,0,13.686,95.802
24,Frank,Ralston,2013-08-20 00:00:00,2010-02-08 00:00:00,1289.0,43.62,7,13.086,1.86942857142857,7,1,0,13.086,91.602
28,Julia,Barnett,2013-05-19 00:00:00,2009-11-07 00:00:00,1289.0,43.62,7,13.086,1.86942857142857,7,1,0,13.086,91.602
37,Fynn,Zimmermann,2013-06-03 00:00:00,2009-01-19 00:00:00,1596.0,43.62,7,13.086,1.86942857142857,7,1,0,13.086,91.602
7,Astrid,Gruber,2013-06-19 00:00:00,2009-12-08 00:00:00,1289.0,42.62,7,12.786,1.82657142857143,7,1,0,12.786,89.502
25,Victor,Stevens,2013-12-05 00:00:00,2009-03-06 00:00:00,1735.0,42.62,7,12.786,1.82657142857143,7,1,0,12.786,89.502
44,Terhi,Hämäläinen,2013-12-14 00:00:00,2009-08-11 00:00:00,1586.0,41.62,7,12.486,1.78371428571429,7,1,0,12.486,87.402
5,František,Wichterlová,2013-05-06 00:00:00,2009-12-08 00:00:00,1245.0,40.62,7,12.186,1.74085714285714,7,1,0,12.186,85.302
43,Isabelle,Mercier,2013-06-06 00:00:00,2010-01-08 00:00:00,1245.0,40.62,7,12.186,1.74085714285714,7,1,0,12.186,85.302
48,Johannes,Van der Berg,2013-09-12 00:00:00,2009-05-10 00:00:00,1586.0,40.62,7,12.186,1.74085714285714,7,1,0,12.186,85.302
1,Luís,Gonçalves,2013-08-07 00:00:00,2010-03-11 00:00:00,1245.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
3,François,Tremblay,2013-09-20 00:00:00,2010-03-11 00:00:00,1289.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
4,Bjørn,Hansen,2013-10-03 00:00:00,2009-01-02 00:00:00,1735.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
17,Jack,Smith,2012-07-31 00:00:00,2009-03-04 00:00:00,1245.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
20,Dan,Miller,2013-11-21 00:00:00,2010-05-12 00:00:00,1289.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
22,Heather,Leacock,2013-07-07 00:00:00,2010-02-08 00:00:00,1245.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
34,João,Fernandes,2012-10-01 00:00:00,2009-05-05 00:00:00,1245.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
42,Wyatt,Girard,2013-11-03 00:00:00,2009-02-02 00:00:00,1735.0,39.62,7,11.886,1.698,7,1,0,11.886,83.202
15,Jennifer,Peterson,2012-12-15 00:00:00,2009-06-05 00:00:00,1289.0,38.62,7,11.586,1.65514285714286,7,1,0,11.586,81.102
19,Tim,Goyer,2012-09-13 00:00:00,2009-03-04 00:00:00,1289.0,38.62,7,11.586,1.65514285714286,7,1,0,11.586,81.102
39,Camille,Bernard,2013-09-07 00:00:00,2010-04-11 00:00:00,1245.0,38.62,7,11.586,1.65514285714286,7,1,0,11.586,81.102
40,Dominique,Lefebvre,2012-08-13 00:00:00,2009-02-01 00:00:00,1289.0,38.62,7,11.586,1.65514285714286,7,1,0,11.586,81.102
51,Joakim,Johansson,2012-12-02 00:00:00,2009-07-06 00:00:00,1245.0,38.62,7,11.586,1.65514285714286,7,1,0,11.586,81.102
58,Manoj,Pareek,2013-12-22 00:00:00,2010-06-12 00:00:00,1289.0,38.62,7,11.586,1.65514285714286,7,1,0,11.586,81.102
2,Leonie,Köhler,2012-07-13 00:00:00,2009-01-01 00:00:00,1289.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
8,Daan,Peeters,2013-10-04 00:00:00,2009-01-03 00:00:00,1735.0,37.62,7,11.286,1.61228571428571,7,1,0,11.286,79.002
